ID,Descriptor,Type,Category
1,Barbell Squats,1,1
2,Goblet Squats,1,1
3,Seated Squats,1,1
4,Frog Squats,1,1
5,Dead Lifts,1,1
6,Step-Ups,2,1
7,Bulgarian Squats,2,1
8,Walking Lunges,2,1
9,Alternating Static Lunges,2,1
10,TRX Pistol Squats,2,1
11,TRX Jumping Squats,1,1
12,Seated Pistol Squats,1,1
13,Bicep Curls,1,2
14,TRX Close Grip Pull-Ups,1,2
15,TRX Wide Grip Pull-Ups,1,2
16,Single Arm Bent Over Row,2,2
17,Bench Pull-Ups,1,2
18,Bench Press,1,3
19,Push-Ups,1,3
20,Dips,1,3
21,Shoulder Press,1,3
22,Lateral Raises,1,3
23,Front Raises,1,3
24,Skull Crushes,1,3
25,Ab Climbers,2,4
26,Plank Walk-outs,1,4
27,Ab Roller,1,4
28,Front Elbow Plank,3,4
29,Front Hands Plank,3,4
30,Side Plank,4,4
31,Ball Tucks,1,4
32,Russian Twist,2,4
33,Ball Toe Taps,2,4
34,Single Battle Ropes,1,5
35,Double Battle Ropes,2,5
36,Rope Jump Slams,1,5
37,Ball Slams,1,5
38,Burpees,1,5
39,Sprints,5,5
40,Shuttle Runs,1,5
41,Long Distance Run,6,5
